mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,centroid_mean,centroid_std,zcr_mean,zcr_std,family,source
-236.50167846679688,45.21764373779297,-4.514620780944824,-0.5929732918739319,-23.558895111083984,-17.14964485168457,-14.809077262878418,-17.075220108032227,-15.104283332824707,-16.375211715698242,-24.9189453125,-11.979406356811523,-2.8717002868652344,42.10429000854492,9.9314603805542,4.601059436798096,3.995464324951172,5.057742595672607,4.6479926109313965,3.932875633239746,4.409463882446289,3.347959518432617,4.005108833312988,5.157150745391846,4.264163017272949,4.949504375457764,1607.0366331639457,183.22692210903259,0.09404578575721154,0.02384644950036788,string,acoustic
-367.6920471191406,201.2145538330078,92.90937805175781,26.846817016601562,14.057367324829102,11.301651000976562,1.5712392330169678,-5.699777126312256,-10.056167602539062,-14.701297760009766,-14.441455841064453,-8.25157642364502,-3.1292495727539062,33.8945426940918,30.07815170288086,8.372113227844238,10.763448715209961,6.441450119018555,6.581671237945557,5.648990631103516,3.7747879028320312,6.004131317138672,4.779141902923584,5.024303436279297,4.967324733734131,3.066277027130127,240.22630284424557,27.244401614116608,0.018772754854368932,0.002372382274775205,brass,acoustic
-399.9187316894531,76.8958740234375,-23.82613754272461,-18.0977783203125,-17.35968780517578,-11.260321617126465,-14.685157775878906,-10.421771049499512,-9.612770080566406,-5.408837795257568,-7.698916912078857,-7.010278224945068,-6.177901268005371,125.69934844970703,33.751564025878906,24.582998275756836,11.688444137573242,11.030545234680176,4.404502868652344,7.981861591339111,3.995300054550171,5.696134090423584,4.215351581573486,4.540163516998291,4.236505508422852,5.81515645980835,1019.6999666114929,504.00377483076574,0.07950004489942529,0.02626101616440094,brass,acoustic
-293.608642578125,155.80654907226562,-43.134910583496094,-0.7933246493339539,-0.05546407774090767,-29.38382339477539,-18.980396270751953,-15.809918403625488,-11.873541831970215,-11.360697746276855,-13.833170890808105,-12.645485877990723,-9.933382987976074,76.67134094238281,30.3741455078125,25.938697814941406,10.479745864868164,9.95941162109375,8.521435737609863,5.831874847412109,9.769841194152832,4.580268859863281,3.058720111846924,4.334129810333252,5.622069358825684,7.724421977996826,797.6718988270918,89.47305057728674,0.0611083984375,0.014747609445851576,brass,acoustic
-305.4048156738281,154.8169403076172,-12.075904846191406,4.396794319152832,4.7975263595581055,-9.915414810180664,-9.748758316040039,-10.688255310058594,-11.692696571350098,-14.32044792175293,-11.424459457397461,-10.346309661865234,-9.495647430419922,95.00593566894531,34.362239837646484,35.53092575073242,9.886231422424316,8.232693672180176,11.262361526489258,6.658538341522217,8.523520469665527,6.614252090454102,6.839416027069092,5.340264320373535,4.74247932434082,3.5714032649993896,561.744557429201,114.23572757073264,0.03466796875,0.010679861808197121,brass,acoustic
-353.17352294921875,169.607421875,50.69308853149414,-0.7901459336280823,-0.7933230996131897,-3.3265271186828613,-11.298857688903809,-12.520024299621582,-5.069799423217773,2.1117074489593506,-2.3983914852142334,-8.728287696838379,-3.7884104251861572,30.297096252441406,28.331371307373047,7.564567565917969,9.808320045471191,11.133977890014648,7.0084357261657715,5.190095901489258,4.114424228668213,5.623337745666504,6.397275447845459,5.143045425415039,3.967700242996216,4.678823947906494,390.7183974376109,71.3142846059172,0.0286865234375,0.011041434561952546,brass,acoustic
-260.46624755859375,263.52947998046875,16.99045181274414,-18.055978775024414,1.2108432054519653,-2.3622689247131348,-5.283221244812012,1.6690585613250732,8.270416259765625,2.141373872756958,1.1714606285095215,3.614173412322998,2.1649622917175293,77.29151916503906,34.6449089050293,75.79259490966797,26.926666259765625,26.82270622253418,8.846081733703613,8.701042175292969,10.15388011932373,6.585420608520508,7.3384270668029785,5.554903507232666,4.090623378753662,4.099295139312744,578.1887097113313,229.8546122486773,0.06211742912371134,0.018100892711046764,bass,synthetic
-343.4212341308594,99.79934692382812,-39.128501892089844,-6.244114398956299,-41.31059265136719,-31.798965454101562,-48.0574836730957,-17.879100799560547,-6.496437072753906,16.44822120666504,6.645709991455078,7.056649684906006,-11.215513229370117,163.31031799316406,14.206310272216797,32.25926208496094,3.1689960956573486,11.543651580810547,4.4026198387146,13.887642860412598,9.00009822845459,14.151177406311035,4.680476188659668,7.920736789703369,5.802921295166016,4.7189040184021,1424.9340293121854,277.7492786936756,0.102392578125,0.031185120944788147,string,acoustic
-290.5862731933594,113.93610382080078,-44.6581916809082,-8.26468276977539,12.896193504333496,-9.222291946411133,-9.768572807312012,-29.801918029785156,-17.916032791137695,38.751747131347656,-23.815998077392578,-18.845409393310547,-3.857623338699341,140.81573486328125,12.34874439239502,16.65723991394043,7.060688495635986,4.093418598175049,5.317150115966797,2.9907643795013428,3.882986545562744,12.45796012878418,2.3533341884613037,7.790421485900879,3.6070168018341064,3.4540374279022217,1601.5034173788736,102.73749855972918,0.13543701171875,0.0358154692126305,string,acoustic
-77.31832885742188,-39.3994140625,-81.1830825805664,-4.111499309539795,-40.41640090942383,-15.621054649353027,-28.618419647216797,-5.314558506011963,-6.5001702308654785,3.778702735900879,-11.912463188171387,-9.488512992858887,-25.122343063354492,72.83035278320312,16.83908462524414,12.102209091186523,3.2991960048675537,5.939621925354004,3.7226157188415527,5.148430824279785,2.9501333236694336,4.814448833465576,3.9973304271698,3.7403438091278076,3.0885422229766846,3.2079966068267822,2618.2086231764756,262.3156332279674,0.11372602103960396,0.014324837343171519,flute,acoustic
